boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
1,1,0,0,-1,0,0,0
2,4,0,1,0,4,2,0
2,4,0,1,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,0,0,3,2,0
2,4,1,0,0,4,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,4,2,0
2,4,1,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,0,0,3,2,0
2,4,0,0,0,3,2,0
2,4,1,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,3,2,0
2,4,0,1,0,3,2,0
3,9,2,1,0,3,2,0
3,9,0,0,0,4,3,0
3,9,0,2,0,4,3,0
3,9,1,0,0,4,2,0
3,9,2,2,0,3,3,0
3,9,1,2,0,3,2,0
3,9,0,2,0,4,3,0
3,9,2,2,0,4,3,0
3,9,2,0,0,4,3,0
3,9,1,1,0,4,2,0
3,9,2,2,0,4,3,0
3,9,0,0,0,4,3,0
3,9,2,1,0,3,2,0
3,9,1,1,0,3,2,0
3,9,0,2,0,4,3,0
3,9,0,1,0,3,2,0
3,9,1,0,0,3,2,0
3,9,2,0,0,4,3,0
3,9,2,1,0,3,2,0
3,9,0,2,0,3,3,0
4,16,1,3,0,4,16,0
4,16,3,2,0,4,16,0
4,16,3,0,0,4,15,0
4,16,0,0,0,4,15,0
4,16,0,3,0,5,15,0
4,16,1,1,0,5,15,0
4,16,3,1,0,4,16,0
4,16,0,3,0,4,15,0
4,16,2,2,0,4,15,0
4,16,2,0,0,5,16,0
4,16,1,0,0,5,16,0
4,16,2,2,0,4,15,0
4,16,2,3,0,5,16,0
4,16,1,3,0,4,16,0
4,16,0,2,0,4,16,0
4,16,2,0,0,5,16,0
4,16,1,2,0,4,15,0
4,16,1,1,0,4,15,0
4,16,2,0,0,5,16,0
4,16,2,2,0,4,15,0
5,25,2,3,80,72,87603,598184
5,25,1,4,80,85,96845,761256
5,25,2,4,80,79,96391,799896
5,25,0,2,80,80,96606,767296
5,25,4,3,80,81,96809,762488
5,25,3,2,80,72,87589,604120
5,25,4,4,80,85,101590,997576
5,25,0,4,80,85,101671,969072
5,25,1,1,80,78,93876,727432
5,25,0,1,80,77,96783,763832
5,25,2,4,80,78,96391,799944
5,25,2,1,80,74,87622,588720
5,25,1,0,80,81,96802,760920
5,25,1,1,80,77,93876,727480
5,25,2,0,80,82,96410,796928
5,25,4,1,80,82,96778,765400
5,25,3,4,80,81,96815,762600
5,25,4,3,80,82,96809,762488
5,25,2,4,80,82,96391,799944
5,25,1,3,80,79,93908,721440
