boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,path_length,memory_usage
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
1,0,0,0,-1,0,0,0
2,2,1,0,0,3,2,0
2,2,0,0,0,4,2,0
2,2,1,1,0,4,2,0
2,2,1,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,0,0,4,2,0
2,2,1,0,0,4,2,0
2,2,0,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,0,0,3,2,0
2,2,0,0,0,3,2,0
2,2,0,0,0,4,2,0
2,2,0,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,4,2,0
2,2,1,0,0,4,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,4,2,0
2,2,0,1,0,4,2,0
2,2,0,0,0,3,2,0
2,2,1,0,0,4,2,0
2,2,1,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,0,0,4,2,0
2,2,0,0,0,4,2,0
2,2,1,1,0,3,2,0
2,2,0,0,0,4,2,0
2,2,0,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,1,0,0,4,2,0
2,2,1,0,0,3,2,0
2,2,0,0,0,3,2,0
2,2,1,0,0,4,2,0
2,2,0,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,4,2,0
2,2,1,0,0,4,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,4,2,0
2,2,0,1,0,4,2,0
2,2,0,1,0,4,2,0
2,2,0,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,4,2,0
2,2,0,0,0,3,2,0
2,2,0,0,0,3,2,0
2,2,0,0,0,3,2,0
2,2,1,0,0,4,2,0
2,2,1,0,0,3,2,0
2,2,1,0,0,4,2,0
2,2,0,1,0,4,2,0
2,2,0,0,0,3,2,0
2,2,1,1,0,4,2,0
2,2,0,1,0,3,2,0
2,2,0,0,0,4,2,0
2,2,0,0,0,4,2,0
2,2,1,0,0,3,2,0
2,2,1,1,0,5,2,0
2,2,1,1,0,3,2,0
2,2,0,0,0,3,2,0
2,2,0,1,0,4,2,0
2,2,1,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,1,0,0,3,2,0
2,2,0,0,0,4,2,0
2,2,1,1,0,3,2,0
2,2,1,1,0,4,2,0
2,2,1,0,0,3,2,0
2,2,1,0,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,3,2,0
2,2,0,1,0,4,2,0
2,2,1,0,0,3,2,0
2,2,0,0,0,4,2,0
2,2,0,0,0,3,2,0
2,2,0,0,0,4,2,0
2,2,0,0,0,3,2,0
2,2,0,0,0,3,2,0
3,4,0,2,0,3,3,0
